选股日,代码,名称,收益率%,总分,分组,趋势分,资金分,板块分,筹码分,大盘分,买入日,买入价,卖出日,卖出价,高开%,来源,结果
20260629,600129,太极集团,3.52,64.0,B,-5,16,10,13,10,20260630,13.05,20260701,13.51,+0.00,涨停热点,✅
20260629,002693,双成药业,3.88,62.0,B,1,25,12,6,10,20260630,9.02,20260701,9.37,-0.99,涨停热点,✅
20260629,000759,中百集团,0.80,61.0,B,-5,25,6,5,10,20260630,6.26,20260701,6.31,-0.79,涨停热点,✅
20260630,603991,领先股份,7.40,61.0,B,4,22,17,-2,10,20260701,139.66,20260702,150.00,-1.06,涨停热点,✅
20260630,002808,恒久退,13.64,61.0,B,-5,22,12,17,10,20260701,0.22,20260702,0.25,+4.76,涨停热点,✅
20260630,001358,兴欣新材,5.29,61.0,B,8,22,12,6,10,20260701,25.72,20260702,27.08,-0.46,涨停热点,✅
20260630,603120,肯特催化,3.53,62.0,B,-5,25,12,7,10,20260701,55.50,20260702,57.46,+4.03,涨停热点,✅
20260630,603823,百合花,-1.32,62.0,B,4,21,12,-3,10,20260701,57.00,20260702,56.25,+4.45,涨停热点,❌
20260630,002587,奥拓电子,-4.51,62.0,B,14,0,12,11,10,20260701,7.76,20260702,7.41,+0.00,涨停热点,❌
20260701,002981,朝阳科技,-1.36,64.0,B,-5,17,8,14,10,20260702,19.90,20260703,19.63,-1.87,涨停热点,❌
20260701,002458,益生股份,4.23,64.0,B,5,22,10,2,10,20260702,9.21,20260703,9.60,+7.72,涨停热点,✅
20260701,002329,皇氏集团,1.35,63.0,B,-5,22,0,16,10,20260702,2.96,20260703,3.00,+0.68,涨停热点,✅
20260701,002826,易明医药,19.94,62.0,B,8,15,15,6,10,20260702,16.50,20260703,19.79,-0.18,涨停热点,✅
20260701,002440,闰土股份,-3.42,62.0,B,8,21,15,-3,10,20260702,11.40,20260703,11.01,+1.06,涨停热点,❌
20260701,002982,湘佳股份,2.80,61.0,B,-5,25,10,8,10,20260702,11.79,20260703,12.12,+1.55,涨停热点,✅
20260702,001317,三羊马,3.67,60.0,B,-5,23,0,12,10,20260703,46.00,20260706,47.69,+4.47,涨停热点,✅
20260706,603118,共进股份,2.94,61.0,B,7,21,6,2,10,20260707,12.93,20260708,13.31,-3.65,涨停热点,✅
20260707,001206,依依股份,0.76,60.0,B,5,25,0,5,10,20260708,19.82,20260709,19.97,+1.43,涨停热点,✅
20260708,000759,中百集团,0.46,64.0,B,14,25,0,7,10,20260709,6.48,20260710,6.51,+0.00,涨停热点,✅
20260708,600602,云赛智联,1.21,63.0,B,-5,16,13,9,10,20260709,16.48,20260710,16.68,+0.61,涨停热点,✅
20260709,605358,立昂微,-6.26,62.0,B,-5,18,17,14,10,20260710,64.01,20260713,60.00,+0.38,涨停热点,❌
20260710,003001,中岩大地,-2.74,64.0,B,-5,25,6,8,10,20260713,14.98,20260714,14.57,+5.42,涨停热点,❌
20260710,600376,首开股份,-6.20,63.0,B,-5,22,6,17,10,20260713,3.55,20260714,3.33,-3.01,涨停热点,❌
20260710,001395,亚联机械,4.17,61.0,B,-5,24,6,13,10,20260713,28.80,20260714,30.00,+0.59,涨停热点,✅
20260713,600664,哈药股份,13.68,61.0,B,4,21,9,2,10,20260714,3.80,20260715,4.32,+2.43,涨停热点,✅
20260714,600227,赤天化,11.19,62.0,B,-5,21,6,10,10,20260715,2.68,20260716,2.98,+1.13,涨停热点,✅
20260714,603186,华正新材,-7.89,62.0,B,-5,19,12,13,10,20260715,183.60,20260716,169.12,+3.72,涨停热点,❌
20260715,002365,永安药业,12.45,64.0,B,4,25,15,2,10,20260716,12.45,20260717,14.00,+3.92,涨停热点,✅
20260715,600785,新华百货,8.85,60.0,B,-5,22,3,17,10,20260716,8.70,20260717,9.47,+2.72,涨停热点,✅
20260715,002940,昂利康,-1.17,60.0,B,-5,25,15,7,10,20260716,29.81,20260717,29.46,+3.01,涨停热点,❌
20260716,000892,欢瑞世纪,-7.49,62.0,B,-5,25,6,13,10,20260717,3.87,20260720,3.58,+0.00,涨停热点,❌
20260716,600203,福日电子,-12.80,61.0,B,-5,25,15,8,10,20260717,11.64,20260720,10.15,-2.35,涨停热点,❌
20260717,600644,乐山电力,8.24,61.0,B,7,22,12,2,10,20260720,9.10,20260721,9.85,+1.00,涨停热点,✅
20260717,001388,信通电子,4.21,61.0,B,-5,19,0,17,10,20260720,23.76,20260721,24.76,-3.96,涨停热点,✅
20260717,600744,华银电力,8.36,61.0,B,-5,19,12,5,10,20260720,6.46,20260721,7.00,+8.39,涨停热点,✅
20260720,600726,华电能源,-5.93,62.0,B,-5,5,15,17,10,20260721,6.24,20260722,5.87,+7.03,涨停热点,❌
